Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-VPC7","cfn-to-cdk/--app--cfn--cfn.json/VPC","Non-Compliant","N/A","Error","The VPC does not have an associated Flow Log."
"AwsSolutions-EC23","cfn-to-cdk/--app--cfn--cfn.json/SecurityGroup","Non-Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","cfn-to-cdk/--app--cfn--cfn.json/SecurityGroup","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-IAM4","cfn-to-cdk/--app--cfn--cfn.json/EC2InstanceRole","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cfn-to-cdk/--app--cfn--cfn.json/EC2InstanceRole","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-EC28","cfn-to-cdk/--app--cfn--cfn.json/EC2Instance","Non-Compliant","N/A","Error","The EC2 instance/AutoScaling launch configuration does not have detailed monitoring enabled."
"AwsSolutions-EC29","cfn-to-cdk/--app--cfn--cfn.json/EC2Instance","Non-Compliant","N/A","Error","The EC2 instance is not part of an ASG and has Termination Protection disabled."
"AwsSolutions-SQS2","cfn-to-cdk/--app--cfn--cfn.json/CFQueue","Non-Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","cfn-to-cdk/--app--cfn--cfn.json/CFQueue","Non-Compliant","N/A","Error","The SQS queue does not have a dead-letter queue (DLQ) enabled or have a cdk_nag rule suppression indicating it is a DLQ."
"AwsSolutions-SQS4","cfn-to-cdk/--app--cfn--cfn.json/CFQueue","Non-Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-SQS2","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyQueue1","Non-Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyQueue1","Non-Compliant","N/A","Error","The SQS queue does not have a dead-letter queue (DLQ) enabled or have a cdk_nag rule suppression indicating it is a DLQ."
"AwsSolutions-SQS4","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyQueue1","Non-Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-SQS2","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyQueue2","Non-Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyQueue2","Non-Compliant","N/A","Error","The SQS queue does not have a dead-letter queue (DLQ) enabled or have a cdk_nag rule suppression indicating it is a DLQ."
"AwsSolutions-SQS4","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyQueue2","Non-Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-SNS2","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MySNSTopic","Non-Compliant","N/A","Error","The SNS Topic does not have server-side encryption enabled."
"AwsSolutions-SNS3","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MySNSTopic","Non-Compliant","N/A","Error","The SNS Topic does not require publishers to use SSL."
"AwsSolutions-IAM4","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyPublishUser","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyPublishUser","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyPublishTopicGroup","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyPublishTopicGroup","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyQueueUser","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyQueueUser","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyRDMessageQueueGroup","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cfn-to-cdk/--app--cfn-to-cdk--my-template.json/MyRDMessageQueueGroup","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
